TIME,GEO,HFCE,SP,TE14-24Y ,UR
2005Q1,Norway,23010.8,981.9,272.3,3.1
2005Q2,Norway,23934.6,1081.1,284.9,3.4
2005Q3,Norway,24885,1311.5,295.2,3.3
2005Q4,Norway,24904.9,1138.0,272.7,2.8
2006Q1,Norway,24937.1,1034.1,284.4,2.8
2006Q2,Norway,26238,1107.1,297.2,2.8
2006Q3,Norway,25868.8,1284.3,319.1,2.4
2006Q4,Norway,25699.8,1107.8,299.2,1.8
2007Q1,Norway,26370.7,999.4,296,1.9
2007Q2,Norway,26926.8,1051.1,317.4,2
2007Q3,Norway,28166.6,1307.6,333.6,1.8
2007Q4,Norway,28871.6,1158.8,327.4,1.6
2008Q1,Norway,28773.5,1111.0,338.6,1.8
2008Q2,Norway,29101,1189.9,351.3,2
2008Q3,Norway,28751.7,1404.6,351.3,1.8
2008Q4,Norway,25823,1122.9,331,1.8
2009Q1,Norway,25839.5,1116.6,317.7,2.2
2009Q2,Norway,26581.5,1156.8,329.6,2.4
2009Q3,Norway,27263.1,1379.7,326.6,2.3
2009Q4,Norway,28738.1,1305.5,311.7,2.1
2010Q1,Norway,31343.7,1280.2,313.7,2.6
2010Q2,Norway,31077.8,1375.8,326.9,2.8
2010Q3,Norway,31302.1,1586.5,328.4,2.5
2010Q4,Norway,31766.5,1442.8,321.4,2.3
2011Q1,Norway,32720.7,1342.0,313.2,2.3
2011Q2,Norway,33014.6,1384.2,323.8,2.5
2011Q3,Norway,33256.7,1616.4,337,2.2
2011Q4,Norway,33691.1,1488.5,330.3,2.1
2012Q1,Norway,34585.3,1473.7,330.9,2.3
2012Q2,Norway,35332,1471.2,346.6,2.3
2012Q3,Norway,36914.4,1722.4,351.4,2.1
2012Q4,Norway,37381.6,1641.9,338,2.2
2013Q1,Norway,37553.8,1530.5,339.8,2.5
2013Q2,Norway,36580.1,1563.7,344.4,2.5
2013Q3,Norway,35635.9,1677.4,348,2.4
2013Q4,Norway,34382.5,1555.8,331.7,2.2
2014Q1,Norway,34285,1416.8,321.5,2.5
2014Q2,Norway,35232.1,1479.8,334.1,2.4
2014Q3,Norway,35127,1748.1,336,2.6
2014Q4,Norway,34363.6,1528.4,330.1,2.4
2015Q1,Norway,34294.9,1456.4,323.9,3
2015Q2,Norway,35249.9,1524.7,339.1,3.1
2015Q3,Norway,33305.2,1696.5,343.6,3.2
2015Q4,Norway,33069.5,1478.1,323.3,2.9
2016Q1,Norway,32871.7,1405.0,317.7,3.4
2016Q2,Norway,33750,1508.5,316.7,3.4
2016Q3,Norway,34237.7,1706.6,330.3,3.4
2016Q4,Norway,35730.2,1609.6,312.7,3
2017Q1,Norway,36280.9,1589.2,306,3.1
2017Q2,Norway,35119.4,1493.9,317.5,3.1
2017Q3,Norway,35528.1,1735.1,326.8,2.8
2017Q4,Norway,35096.6,1561.3,315.9,2.6
2018Q1,Norway,34998.4,1522.8,311.2,2.7
2018Q2,Norway,36046,1579.5,324,2.7
2018Q3,Norway,36216.8,1724.7,330.6,2.8
2018Q4,Norway,36347.3,1659.1,317.5,2.4
